Favorite Count,Author,Link to Author,Cartridge Title,Link to Cart
93,paranoidcactus,https://www.lexaloffle.com/bbs/?uid=29414,Lava Joe,https://www.lexaloffle.com/bbs/?tid=36418
92,EvilPaper,https://www.lexaloffle.com/bbs/?uid=12127,Thunder Bella the Cloud Chaser,https://www.lexaloffle.com/bbs/?tid=29107
92,ValerADHD,https://www.lexaloffle.com/bbs/?uid=47278,How does 3D projection work? (in 2 and a half minutes),https://www.lexaloffle.com/bbs/?tid=40619
92,elneil,https://www.lexaloffle.com/bbs/?uid=23824,RogueRis: Trials of Dungeonfall,https://www.lexaloffle.com/bbs/?tid=30348
91,picoter8,https://www.lexaloffle.com/bbs/?uid=38895,Super Contra Hot,https://www.lexaloffle.com/bbs/?tid=35844
91,Droodle,https://www.lexaloffle.com/bbs/?uid=51293,KING: A bullet-hell RPG,https://www.lexaloffle.com/bbs/?tid=45880
91,guerragames,https://www.lexaloffle.com/bbs/?uid=12812,skulldude,https://www.lexaloffle.com/bbs/?tid=30146
91,arnodick,https://www.lexaloffle.com/bbs/?uid=11060,SPACETANK 9000,https://www.lexaloffle.com/bbs/?tid=3496
90,spoike,https://www.lexaloffle.com/bbs/?uid=33383,picokaiju,https://www.lexaloffle.com/bbs/?tid=45889
90,Rhys,https://www.lexaloffle.com/bbs/?uid=9645,We Missed You! (LD33 compo),https://www.lexaloffle.com/bbs/?tid=2322
89,tromagon,https://www.lexaloffle.com/bbs/?uid=33139,Tetraminis Deffect,https://www.lexaloffle.com/bbs/?tid=32771
89,kittenm4ster,https://www.lexaloffle.com/bbs/?uid=9551,Orbiter Suite,https://www.lexaloffle.com/bbs/?tid=30966
89,GibletsofJesus,https://www.lexaloffle.com/bbs/?uid=26685,Pico Pirates!,https://www.lexaloffle.com/bbs/?tid=31506
89,chowyunbrent,https://www.lexaloffle.com/bbs/?uid=12197,S W O R D F I S H,https://www.lexaloffle.com/bbs/?tid=31141
88,SophieHoulden,https://www.lexaloffle.com/bbs/?uid=10355,Return of the SLIMEPIRES!,https://www.lexaloffle.com/bbs/?tid=47392
88,Jusiv,https://www.lexaloffle.com/bbs/?uid=24585,Messages,https://www.lexaloffle.com/bbs/?tid=29501
88,DragonXVI,https://www.lexaloffle.com/bbs/?uid=13966,Charge! (LD39),https://www.lexaloffle.com/bbs/?tid=29734
87,NeithR,https://www.lexaloffle.com/bbs/?uid=21730,Kelin's Delivery: Rain,https://www.lexaloffle.com/bbs/?tid=29277
87,BoneVolt,https://www.lexaloffle.com/bbs/?uid=38130,Stuck in the Sewers,https://www.lexaloffle.com/bbs/?tid=39830
86,Parlor,https://www.lexaloffle.com/bbs/?uid=11224,The Wee Dungeon 1.2.3,https://www.lexaloffle.com/bbs/?tid=3072
86,tmirobot,https://www.lexaloffle.com/bbs/?uid=25862,Little Space Rangers,https://www.lexaloffle.com/bbs/?tid=30232
86,electricgryphon,https://www.lexaloffle.com/bbs/?uid=10844,Vox Mine 3D,https://www.lexaloffle.com/bbs/?tid=32894
